Teff,V_F28X50LP,ETC_F28X50LP,Texp_F28X50LP,Tsat_F28X50LP,V_F25ND3,ETC_F25ND3,Texp_F25ND3,Tsat_F25ND3
2951,17,STIS.ta.1930649,0.292,55.77,15,STIS.ta.1930651,13.8118,2669.57
3548,14.3,STIS.ta.1930663,0.0597,10.06,13,STIS.ta.1930652,5.5242,931.93
3801,13.2,STIS.ta.1930664,0.027,4.37,12.5,STIS.ta.1930653,4.3623,701.41
4188,11.9,STIS.ta.1930665,0.0103,1.6,10.5,STIS.ta.1930654,0.8725,133.05
4886,10.9,STIS.ta.1930666,0.0054,0.82,9.8,STIS.ta.1930655,0.5757,83.12
5188,,,,,9.5,STIS.ta.1930656,0.4586,64.95
5584,,,,,9.2,STIS.ta.1930657,0.3713,51.58
6039,,,,,8.4,STIS.ta.1930658,0.1851,25.07
6531,,,,,8.1,STIS.ta.1930659,0.1471,19.49
6776,,,,,7.3,STIS.ta.1930660,0.071,9.33
7211,,,,,7.5,STIS.ta.1930661,0.0877,11.38
