# Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity
G9-40,08 58 52.3297,2.2500000341096893e-05,+21 04 34.200,2.2500000341096893e-05,ICRS,2000.0,175.740,MAS/YR,-318.332,MAS/YR,0.0359298,13.8,0.03999999910593033,G=12.715983390808105,STAR,"[M V-IV, Extra-solar Planetary System]",14.65
GJ143,03 26 59.2226,1.4000000192027073e-05,-63 29 56.762,1.4000000192027073e-05,ICRS,2000.0,355.195,MAS/YR,-247.388,MAS/YR,0.0612271,8.1,,G=7.686758995056152,STAR,"[K V-IV, Extra-solar Planetary System]",58.094
GJ357,09 36 01.6372,1.8900000213761814e-05,-21 39 38.877,1.8900000213761814e-05,ICRS,2000.0,138.722,MAS/YR,-990.342,MAS/YR,0.1059789,10.9,,G=9.891661643981934,STAR,"[M V-IV, Extra-solar Planetary System]",-36.291
HD109833,12 39 06.4022,9.299999874201603e-06,-74 34 26.368,9.299999874201603e-06,ICRS,2000.0,-50.489,MAS/YR,-6.764,MAS/YR,0.0125686,9.3,0.019999999552965164,G=9.144801139831543,STAR,"[G V-IV, Extra-solar Planetary System]",9.17
HD110067,12 39 21.5036,1.7300000763498247e-05,+20 01 40.035,1.7300000763498247e-05,ICRS,2000.0,-81.703,MAS/YR,-104.532,MAS/YR,0.0310369,8.4,0.019999999552965164,G=8.184687614440918,STAR,"[K V-IV, Extra-solar Planetary System]",
HD15337,02 27 28.3781,8.69999985297909e-06,-27 38 06.736,8.69999985297909e-06,ICRS,2000.0,-73.581,MAS/YR,-211.935,MAS/YR,0.0222922,9.1,0.019999999552965164,G=8.864990234375,STAR,"[K V-IV, Extra-solar Planetary System]",-5.325
HD15906,02 33 05.2824,1.590000101714395e-05,-10 21 06.411,1.590000101714395e-05,ICRS,2000.0,-172.917,MAS/YR,-92.218,MAS/YR,0.021863499999999998,9.8,0.029999999329447746,G=9.484146118164062,STAR,"[K V-IV, Extra-solar Planetary System]",-5.129
HD183579,19 33 08.5946,1.2700000297627412e-05,-54 31 56.540,1.2700000297627412e-05,ICRS,2000.0,108.321,MAS/YR,-82.714,MAS/YR,0.017609000000000003,8.7,0.009999999776482582,G=8.526487350463867,STAR,"[G V-IV, Extra-solar Planetary System]",-17.017
HD191939,20 08 05.7551,1.2299999980314169e-05,+66 51 02.076,1.2299999980314169e-05,ICRS,2000.0,150.194,MAS/YR,-63.988,MAS/YR,0.0186967,9.0,0.03,G=8.782844543457031,STAR,"[G V-IV, Extra-solar Planetary System]",-9.5
HD207496,21 54 51.3012,1.4899999769113492e-05,-77 20 16.794,1.4899999769113492e-05,ICRS,2000.0,224.795,MAS/YR,-186.728,MAS/YR,0.042293,8.2,0.03,G=7.983588218688965,STAR,"[K V-IV, Extra-solar Planetary System]",-12.763
