wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1194.5000,0,2.805,2.785e-09,97.14,99.945
1194.5500,0,2.805,3.3818e-09,103.73,106.54
1194.6000,0,2.805,4.0628e-09,103.85,106.65
1194.6500,0,2.805,4.6617e-09,103.97,106.77
1194.7000,0,2.805,4.7706e-09,104.08,106.89
1194.7500,0,2.805,4.7664e-09,104.2,107.01
1194.8000,0,2.805,4.7568e-09,104.32,107.12
1194.8500,0,2.805,4.7472e-09,104.44,107.24
1194.9000,0,2.805,4.7375e-09,104.55,107.36
1194.9500,0,2.805,4.7278e-09,104.67,107.48
1195.0000,0,2.805,4.7181e-09,104.79,107.59
1195.0500,0,2.805,4.7084e-09,104.91,107.71
1195.1000,0,2.805,4.6986e-09,105.03,107.83
1195.1500,0,2.805,4.6888e-09,105.14,107.95
1195.2000,0,2.805,4.679e-09,105.26,108.07
1195.2500,0,2.805,4.6691e-09,105.38,108.19
1195.3000,0,2.805,4.6592e-09,105.5,108.3
1195.3500,0,2.805,4.6493e-09,105.62,108.42
1195.4000,0,2.805,4.6394e-09,105.74,108.54
1195.4500,0,2.805,4.6294e-09,105.85,108.66
1195.5000,0,2.805,4.6194e-09,105.97,108.78
1195.5500,0,2.805,4.6094e-09,106.09,108.9
1195.6000,0,2.805,4.5994e-09,106.21,109.02
1195.6500,0,2.805,4.5893e-09,106.33,109.13
1195.7000,0,2.805,4.5792e-09,106.45,109.25
1195.7500,0,2.805,4.569e-09,106.57,109.37
1195.8000,0,2.805,4.5589e-09,106.69,109.49
1195.8500,0,2.805,4.5487e-09,106.81,109.61
1195.9000,0,2.805,4.5384e-09,106.92,109.73
1195.9500,0,2.805,4.5282e-09,107.04,109.85
1196.0000,0,2.805,4.5179e-09,107.16,109.97
1196.0500,0,2.805,4.5076e-09,107.28,110.09
1196.1000,0,2.805,4.4973e-09,107.4,110.21
1196.1500,0,2.805,4.4869e-09,107.52,110.33
1196.2000,0,2.805,4.4765e-09,107.64,110.45
1196.2500,0,2.805,4.4661e-09,107.76,110.57
1196.3000,0,2.805,4.4556e-09,107.88,110.69
1196.3500,0,2.805,4.4452e-09,108,110.81
1196.4000,0,2.805,4.4347e-09,108.12,110.93
1196.4500,0,2.805,4.4241e-09,108.24,111.05
1196.5000,0,2.805,4.4136e-09,108.36,111.17
1196.5500,0,2.805,4.403e-09,108.48,111.29
1196.6000,0,2.805,4.3923e-09,108.6,111.41
1196.6500,0,2.805,4.3817e-09,108.72,111.53
1196.7000,0,2.805,4.371e-09,108.84,111.65
1196.7500,0,2.805,4.3603e-09,108.96,111.77
1196.8000,0,2.805,4.3496e-09,109.08,111.89
1196.8500,0,2.805,4.3388e-09,109.2,112.01
1196.9000,0,2.805,4.328e-09,109.32,112.13
1196.9500,0,2.805,4.3172e-09,109.44,112.25
1197.0000,0,2.805,4.3063e-09,109.56,112.37
1197.0500,0,2.805,4.2954e-09,109.68,112.49
1197.1000,0,2.805,4.2845e-09,109.81,112.61
1197.1500,0,2.805,4.2736e-09,109.93,112.73
1197.2000,0,2.805,4.2626e-09,110.05,112.85
1197.2500,0,2.805,4.2516e-09,110.17,112.97
1197.3000,0,2.805,4.2406e-09,110.29,113.09
1197.3500,0,2.805,4.2295e-09,110.41,113.22
1197.4000,0,2.805,4.2184e-09,110.53,113.34
1197.4500,0,2.805,4.2073e-09,110.65,113.46
1197.5000,0,2.805,4.1962e-09,110.77,113.58
1197.5500,0,2.805,4.185e-09,110.9,113.7
1197.6000,0,2.805,4.1738e-09,111.02,113.82
1197.6500,0,2.805,4.1626e-09,111.14,113.94
1197.7000,0,2.805,4.1513e-09,111.26,114.06
1197.7500,0,2.805,4.14e-09,111.38,114.19
1197.8000,0,2.805,4.1287e-09,111.5,114.31
1197.8500,0,2.805,4.1174e-09,111.62,114.43
1197.9000,0,2.805,4.106e-09,111.75,114.55
1197.9500,0,2.805,4.0946e-09,111.87,114.67
1198.0000,0,2.805,4.0831e-09,111.99,114.8
1198.0500,0,2.805,4.0717e-09,112.11,114.92
1198.1000,0,2.805,4.0602e-09,112.23,115.04
1198.1500,0,2.805,4.0486e-09,112.36,115.16
1198.2000,0,2.805,4.0371e-09,112.48,115.28
1198.2500,0,2.805,4.0255e-09,112.6,115.41
1198.3000,0,2.805,4.0139e-09,112.72,115.53
1198.3500,0,2.805,4.0022e-09,112.85,115.65
1198.4000,0,2.805,3.9906e-09,112.97,115.77
1198.4500,0,2.805,3.9789e-09,113.09,115.9
1198.5000,0,2.805,3.9671e-09,113.21,116.02
1198.5500,0,2.805,3.9554e-09,113.34,116.14
1198.6000,0,2.805,3.9436e-09,113.46,116.26
1198.6500,0,2.805,3.9318e-09,113.58,116.39
1198.7000,0,2.805,3.9199e-09,113.7,116.51
1198.7500,0,2.805,3.908e-09,113.83,116.63
1198.8000,0,2.805,3.8961e-09,113.95,116.75
1198.8500,0,2.805,3.8842e-09,114.07,116.88
1198.9000,0,2.805,3.8722e-09,114.2,117
1198.9500,0,2.805,3.8602e-09,114.32,117.12
1199.0000,0,2.805,3.8482e-09,114.44,117.25
1199.0500,0,2.805,3.8361e-09,114.57,117.37
1199.1000,0,2.805,3.824e-09,114.69,117.49
1199.1500,0,2.805,3.8119e-09,114.81,117.62
1199.2000,0,2.805,3.7998e-09,114.94,117.74
1199.2500,0,2.805,3.7876e-09,115.06,117.86
1199.3000,0,2.805,3.7754e-09,115.18,117.99
1199.3500,0,2.805,3.7631e-09,115.31,118.11
1199.4000,0,2.805,3.7509e-09,115.43,118.23
1199.4500,0,2.805,3.7386e-09,115.55,118.36
1199.5000,0,2.805,3.7262e-09,115.68,118.48
1199.5500,0,2.805,3.7139e-09,115.8,118.61
1199.6000,0,2.805,3.7015e-09,115.93,118.73
1199.6500,0,2.805,3.6891e-09,116.05,118.85
1199.7000,0,2.805,3.6766e-09,116.17,118.98
1199.7500,0,2.805,3.6641e-09,116.3,119.1
1199.8000,0,2.805,3.6516e-09,116.42,119.23
1199.8500,0,2.805,3.6395e-09,116.55,119.35
1199.9000,0,2.805,3.629e-09,116.67,119.47
1199.9500,0,2.805,3.6203e-09,116.79,119.6
1200.0000,0,2.805,3.6136e-09,116.92,119.72
1200.0500,0,2.805,3.6089e-09,117.02,119.83
1200.1000,0,2.805,3.6061e-09,117.13,119.93
1200.1500,0,2.805,3.6053e-09,117.23,120.04
1200.2000,0,2.805,3.606e-09,117.34,120.14
1200.2500,0,2.805,3.6072e-09,117.44,120.25
1200.3000,0,2.805,3.6083e-09,117.55,120.35
1200.3500,0,2.805,3.6095e-09,117.65,120.46
1200.4000,0,2.805,3.6106e-09,117.76,120.56
1200.4500,0,2.805,3.6118e-09,117.86,120.67
1200.5000,0,2.805,3.6129e-09,117.97,120.77
1200.5500,0,2.805,3.614e-09,118.07,120.88
1200.6000,0,2.805,3.6152e-09,118.18,120.99
1200.6500,0,2.805,3.6163e-09,118.29,121.09
1200.7000,0,2.805,3.6175e-09,118.39,121.2
1200.7500,0,2.805,3.6186e-09,118.5,121.3
1200.8000,0,2.805,3.6197e-09,118.6,121.41
1200.8500,0,2.805,3.6208e-09,118.71,121.51
1200.9000,0,2.805,3.622e-09,118.81,121.62
1200.9500,0,2.805,3.6231e-09,118.92,121.72
1201.0000,0,2.805,3.6242e-09,119.02,121.83
1201.0500,0,2.805,3.6253e-09,119.13,121.93
1201.1000,0,2.805,3.6264e-09,119.23,122.04
1201.1500,0,2.805,3.6275e-09,119.34,122.14
1201.2000,0,2.805,3.6287e-09,119.45,122.25
1201.2500,0,2.805,3.6298e-09,119.55,122.36
1201.3000,0,2.805,3.6309e-09,119.66,122.46
1201.3500,0,2.805,3.632e-09,119.76,122.57
1201.4000,0,2.805,3.6331e-09,119.87,122.67
1201.4500,0,2.805,3.6342e-09,119.97,122.78
1201.5000,0,2.805,3.6352e-09,120.08,122.88
1201.5500,0,2.805,3.6363e-09,120.18,122.99
1201.6000,0,2.805,3.6374e-09,120.29,123.1
1201.6500,0,2.805,3.6385e-09,120.4,123.2
